Date,Rank,Song,Artist,LastWeek,PeakRank,WeeksOnBoard
9/12/2009,1,I Gotta Feeling,The Black Eyed Peas,1.0,1,12
9/12/1998,1,I Don't Want To Miss A Thing,Aerosmith,1.0,1,2
9/12/1992,1,"End Of The Road (From ""Boomerang"")",Boyz II Men,1.0,1,9
9/12/1987,1,La Bamba,Los Lobos,1.0,1,12
9/12/1981,1,Endless Love,Diana Ross & Lionel Richie,1.0,1,10
9/12/1970,1,War,Edwin Starr,1.0,1,10
9/12/1964,1,House Of The Rising Sun,The Animals,1.0,1,6
9/12/1960,1,It's Now Or Never,Elvis Presley With The Jordanaires,1.0,1,9
9/11/2021,1,Butter,BTS,7.0,1,15
9/11/2010,1,Love The Way You Lie,Eminem Featuring Rihanna,1.0,1,10
9/11/2004,1,Goodies,Ciara Featuring Petey Pablo,3.0,1,12
9/11/1999,1,Bailamos,Enrique Iglesias,1.0,1,10
9/11/1993,1,Dreamlover,Mariah Carey,2.0,1,6
9/11/1982,1,Hard To Say I'm Sorry,Chicago,3.0,1,15
9/11/1976,1,"(Shake, Shake, Shake) Shake Your Booty",KC And The Sunshine Band,5.0,1,10
9/11/1971,1,Go Away Little Girl,Donny Osmond,5.0,1,6
9/11/1965,1,Help!,The Beatles,1.0,1,6
9/11/1961,1,Michael,The Highwaymen,1.0,1,10
9/10/2016,1,Closer,The Chainsmokers Featuring Halsey,1.0,1,4
9/10/2011,1,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,4.0,1,10
9/10/2005,1,We Belong Together,Mariah Carey,1.0,1,22
9/10/1994,1,I'll Make Love To You,Boyz II Men,1.0,1,5
9/10/1988,1,Sweet Child O' Mine,Guns N' Roses,2.0,1,12
9/10/1983,1,Maniac,Michael Sembello,2.0,1,15
9/10/1977,1,Best Of My Love,The Emotions,1.0,1,14
9/10/1966,1,You Can't Hurry Love,The Supremes,4.0,1,5
9/1/2018,1,In My Feelings,Drake,1.0,1,8
9/1/2012,1,We Are Never Ever Getting Back Together,Taylor Swift,72.0,1,2
9/1/2007,1,Beautiful Girls,Sean Kingston,1.0,1,13
9/1/2001,1,Fallin',Alicia Keys,1.0,1,12
9/1/1990,1,If Wishes Came True,Sweet Sensation,3.0,1,12
9/1/1984,1,What's Love Got To Do With It,Tina Turner,2.0,1,16
9/1/1979,1,My Sharona,The Knack,1.0,1,11
9/1/1973,1,Brother Louie,Stories,1.0,1,11
9/1/1962,1,Sheila,Tommy Roe,5.0,1,6
9/1/1958,1,Nel Blu Dipinto Di Blu (Volar��),Domenico Modugno,2.0,1,5
8/9/2014,1,Rude,MAGIC!,1.0,1,14
8/9/2008,1,I Kissed A Girl,Katy Perry,1.0,1,12
8/9/2003,1,Crazy In Love,Beyonce Featuring Jay Z,1.0,1,12
8/9/1997,1,I'll Be Missing You,Puff Daddy & Faith Evans Featuring 112,1.0,1,9
8/9/1986,1,"Glory Of Love (Theme From ""The Karate Kid Part II"")",Peter Cetera,1.0,1,10
8/9/1980,1,Magic,Olivia Newton-John,1.0,1,12
8/9/1975,1,Jive Talkin',Bee Gees,3.0,1,11
8/9/1969,1,In The Year 2525,Zager & Evans,1.0,1,8
8/8/2020,1,Cardigan,Taylor Swift,,1,1
8/8/2015,1,Cheerleader,OMI,1.0,1,14
8/8/2009,1,I Gotta Feeling,The Black Eyed Peas,1.0,1,7
8/8/1998,1,The Boy Is Mine,Brandy & Monica,1.0,1,11
8/8/1992,1,This Used To Be My Playground,Madonna,2.0,1,6
8/8/1987,1,I Still Haven't Found What I'm Looking For,U2,2.0,1,9
8/8/1981,1,Jessie's Girl,Rick Springfield,1.0,1,20
8/8/1970,1,(They Long To Be) Close To You,Carpenters,1.0,1,8
8/8/1964,1,A Hard Day's Night,The Beatles,1.0,1,4
8/8/1960,1,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,Brian Hyland,2.0,1,6
8/7/2021,1,Butter,BTS,1.0,1,10
8/7/2010,1,Love The Way You Lie,Eminem Featuring Rihanna,1.0,1,5
8/7/2004,1,Slow Motion,Juvenile Featuring Soulja Slim,2.0,1,15
8/7/1999,1,Genie In A Bottle,Christina Aguilera,1.0,1,6
8/7/1993,1,"Can't Help Falling In Love (From ""Sliver"")",UB40,1.0,1,13
8/7/1982,1,Eye Of The Tiger,Survivor,1.0,1,10
8/7/1976,1,Don't Go Breaking My Heart,Elton John & Kiki Dee,5.0,1,6
8/7/1971,1,How Can You Mend A Broken Heart,Bee Gees,6.0,1,7
8/7/1965,1,"I'm Henry VIII, I Am",Herman's Hermits,2.0,1,6
8/7/1961,1,Tossin' And Turnin',Bobby Lewis,1.0,1,16
8/6/2016,1,Cheap Thrills,Sia Featuring Sean Paul,3.0,1,23
8/6/2011,1,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,1.0,1,18
8/6/2005,1,We Belong Together,Mariah Carey,1.0,1,17
8/6/1994,1,"Stay (I Missed You) (From ""Reality Bites"")",Lisa Loeb & Nine Stories,2.0,1,14
8/6/1988,1,Roll With It,Steve Winwood,1.0,1,9
8/6/1983,1,Every Breath You Take,The Police,1.0,1,10
8/6/1977,1,I Just Want To Be Your Everything,Andy Gibb,1.0,1,16
8/6/1966,1,Wild Thing,The Troggs,1.0,1,7
8/5/2017,1,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,1.0,1,27
8/5/2006,1,Promiscuous,Nelly Furtado Featuring Timbaland,1.0,1,12
8/5/2000,1,It's Gonna Be Me,N Sync,1.0,1,14
8/5/1995,1,Waterfalls,TLC,1.0,1,9
8/5/1989,1,"Batdance (From ""Batman"")",Prince,2.0,1,8
8/5/1978,1,Miss You,The Rolling Stones,3.0,1,11
8/5/1972,1,Alone Again (Naturally),Gilbert O'Sullivan,1.0,1,8
8/5/1967,1,Light My Fire,The Doors,1.0,1,10
8/4/2018,1,In My Feelings,Drake,1.0,1,4
8/4/2012,1,Call Me Maybe,Carly Rae Jepsen,1.0,1,22
8/4/2007,1,Hey There Delilah,Plain White T's,1.0,1,17
8/4/2001,1,Bootylicious,Destiny's Child,7.0,1,9
8/4/1990,1,Vision Of Love,Mariah Carey,2.0,1,10
8/4/1984,1,When Doves Cry,Prince,1.0,1,10
8/4/1979,1,Bad Girls,Donna Summer,1.0,1,11
8/4/1973,1,The Morning After,Maureen McGovern,9.0,1,7
8/4/1962,1,Roses Are Red (My Love),Bobby Vinton,1.0,1,9
8/4/1958,1,Poor Little Fool,Ricky Nelson,,1,1
8/31/2019,1,Senorita,Shawn Mendes & Camila Cabello,2.0,1,9
8/31/2013,1,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,1.0,1,18
8/31/2002,1,Dilemma,Nelly Featuring Kelly Rowland,1.0,1,8
8/31/1996,1,Macarena (Bayside Boys Mix),Los Del Rio,1.0,1,37
8/31/1991,1,(Everything I Do) I Do It For You,Bryan Adams,1.0,1,10
8/31/1985,1,The Power Of Love,Huey Lewis & The News,1.0,1,10
8/31/1974,1,(You're) Having My Baby,Paul Anka with Odia Coates,1.0,1,9
8/31/1968,1,People Got To Be Free,The Rascals,1.0,1,7
8/31/1963,1,My Boyfriend's Back,The Angels,4.0,1,5
8/31/1959,1,The Three Bells,The Browns,1.0,1,6
8/30/2014,1,Rude,MAGIC!,1.0,1,17
8/30/2008,1,Disturbia,Rihanna,1.0,1,9
8/30/2003,1,Crazy In Love,Beyonce Featuring Jay Z,1.0,1,15
